#TYPE Selected.System.Management.Automation.PSCustomObject,,,,,,
Date,Time,AccountName,AccountDomain,SourceAddress,SourcePort,Sharename
7/31/2017,7:20 PM,_idshk,AP1,10.42.156.78,62104,\\*\IPC$
7/31/2017,7:19 PM,dataexu,AP1,10.42.160.25,64967,\\*\IPC$
7/31/2017,7:19 PM,rmisp,AP1,10.80.24.173,59997,\\*\IPC$
7/31/2017,7:19 PM,_idshk,AP1,10.42.156.78,62102,\\*\IPC$
7/31/2017,7:18 PM,ise1-t$,EU1,10.48.208.75,20772,\\*\IPC$
7/31/2017,7:18 PM,dataexu,AP1,10.42.160.25,64961,\\*\IPC$
7/31/2017,7:18 PM,_idshk,AP1,10.42.156.78,62100,\\*\AGIHK
7/31/2017,7:18 PM,rmisp,AP1,10.80.24.173,59983,\\*\IPC$
7/31/2017,7:18 PM,_idshk,AP1,10.42.156.78,62100,\\*\IPC$
7/31/2017,7:17 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,61210,\\*\SYSVOL
7/31/2017,7:17 PM,dataexu,AP1,10.42.160.25,64957,\\*\IPC$
7/31/2017,7:17 PM,rmisp,AP1,10.80.24.173,59970,\\*\IPC$
7/31/2017,7:17 PM,_idshk,AP1,10.42.156.78,62099,\\*\IPC$
7/31/2017,7:16 PM,_APSpotLightSvc,AP1,10.42.156.66,64046,\\*\IPC$
7/31/2017,7:16 PM,MONICAC,AP1,10.80.19.111,55861,\\*\IPC$
7/31/2017,7:16 PM,MONICAC,AP1,10.80.19.111,55861,\\*\AGIHK
7/31/2017,7:16 PM,_idshk,AP1,10.42.156.78,62095,\\*\AGIHK
7/31/2017,7:16 PM,dataexu,AP1,10.42.160.25,64955,\\*\IPC$
7/31/2017,7:16 PM,_idshk,AP1,10.42.156.78,62092,\\*\IPC$
7/31/2017,7:15 PM,rmisp,AP1,10.80.24.173,59955,\\*\IPC$
7/31/2017,7:15 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,61202,\\*\SYSVOL
7/31/2017,7:15 PM,_idshk,AP1,10.42.156.78,50602,\\*\AGIHK
7/31/2017,7:15 PM,dataexu,AP1,10.42.160.25,64953,\\*\IPC$
7/31/2017,7:15 PM,_idshk,AP1,10.42.156.78,50596,\\*\IPC$
7/31/2017,7:15 PM,_idshk,AP1,10.42.156.78,50596,\\*\AGIHK
7/31/2017,7:14 PM,PGC2EU-ISEPSN01$,1CORP,10.42.106.53,63883,\\*\IPC$
7/31/2017,7:14 PM,rmisp,AP1,10.80.24.173,59936,\\*\IPC$
7/31/2017,7:14 PM,dataexu,AP1,10.42.160.25,64949,\\*\IPC$
7/31/2017,7:14 PM,_idshk,AP1,10.42.156.78,50592,\\*\AGIHK
7/31/2017,7:14 PM,_idshk,AP1,10.42.156.78,50592,\\*\IPC$
